InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
Normafa Park FenntartÃģ ÃĐs ÃzemeltetÅ,47.515071,18.964787,47.51401,47.516132,18.959833,18.969741,0.25,1,Unknown,2,Parks & Environment,0,0,0
Normafa Park Fenntartó és Üzemeltető,47.510631,18.962637,47.501709,47.524331,18.958437,18.967179,2.39,1,XII. kerület,3,Parks & Environment,0,0,0
OBI Barkácsáruház,47.517272,19.08697,47.467294,47.567251,19.076423,19.097517,25.51,2,"IX. kerület, IV. kerület",2,Other Municipal,0,0,0
OIF Országos Idegenrendészeti Főigazgatóság,47.45886,19.05274,47.45886,47.45886,19.05274,19.05274,0.0,1,XI. kerület,1,Law Enforcement,0,0,0
OMV Hungária Kft.,47.549928,19.138482,47.549928,47.549928,19.138482,19.138482,0.0,1,XV. kerület,1,Other Municipal,0,0,1
OMW,47.477368,19.138486,47.416269,47.538466,19.070247,19.206724,201.79,2,"XIII. kerület, XVIII. kerület",2,Other Municipal,0,0,0
OTP Bank,47.447007,19.036255,47.447007,47.447007,19.036255,19.036255,0.0,1,XI. kerület,1,Other Municipal,0,0,0
One MagyarorszÃĄg Zrt.,47.481622,19.162758,47.481622,47.481622,19.162758,19.162758,0.0,1,Unknown,1,Other Municipal,0,0,1
One Magyarország Zrt.,47.513981,19.067724,47.444546,47.585887,18.988665,19.200625,362.5,12,"IV. kerület, XIV. kerület, XIII. kerület, XI. kerület, III. kerület",27,Other Municipal,0,0,1
Országgyűlés Hivatala,47.506707,19.048963,47.506006,47.507409,19.04819,19.049736,0.03,1,V. kerület,2,Other Municipal,0,0,0
Országos Onkológiai Intézet,47.501495,19.01866,47.501495,47.501495,19.01866,19.01866,0.0,1,XII. kerület,1,Other Municipal,0,0,0
"PVKH Körny.véd., Term.véd., Hull.gazd. és Bányafelügy. Főosztály",47.54736,18.993889,47.54736,47.54736,18.993889,18.993889,0.0,1,II. kerület,1,Other Municipal,0,0,0
Packeta,47.452667,19.157055,47.452667,47.452667,19.157055,19.157055,0.0,1,XIX. kerület,1,Other Municipal,0,0,0
Park Plazza,47.504176,19.151684,47.504176,47.504176,19.151684,19.151684,0.0,1,X. kerület,1,Parks & Environment,0,0,0
Parkol-6 Terézvárosi Parkolás,47.516545,19.071409,47.516545,47.516545,19.071409,19.071409,0.0,1,VI. kerület,1,Parks & Environment,0,0,0
Penny Market,47.454007,19.128948,47.438058,47.469544,19.100214,19.157544,21.84,2,"XX. kerület, X. kerület",4,Other Municipal,0,0,0
Peugeot Pásztor,47.485279,19.224826,47.485279,47.485279,19.224826,19.224826,0.0,1,XVII. kerület,1,Other Municipal,0,0,0
Pilisi Parkerdő,47.512503,19.024103,47.456405,47.575942,18.929148,19.151441,321.52,5,"II. kerület, IX. kerület, III. kerület, XIX. kerület, X. kerület",28,Parks & Environment,0,0,0
Property Market,47.462522,19.059098,47.460861,47.464598,19.057374,19.060676,0.15,1,XI. kerület,3,Other Municipal,0,0,0
Príma,47.51431,19.077395,47.467381,47.596132,19.01656,19.153551,213.42,3,"X. kerület, III. kerület, XI. kerület",3,Other Municipal,0,0,0
Publimont,47.531239,19.043449,47.531239,47.531239,19.043449,19.043449,0.0,1,III. kerület,1,Other Municipal,0,0,0
Punctum Kft.,47.524703,19.07275,47.492766,47.546576,19.047543,19.093687,30.04,2,"XIII. kerület, VIII. kerület",8,Other Municipal,0,0,1
PÃģlus Center,47.550954,19.138877,47.550954,47.550954,19.138877,19.138877,0.0,1,Unknown,1,Other Municipal,0,0,0
Pólus Center,47.55096,19.138918,47.55096,47.55096,19.138918,19.138918,0.0,1,XV. kerület,1,Other Municipal,0,0,0
SOTE Semmelweis Orvostudományi Egyetem,47.482626,19.079714,47.482626,47.482626,19.079714,19.079714,0.0,1,VIII. kerület,1,Other Municipal,0,0,0
SPAR Magyarország,47.492277,19.120063,47.431159,47.597385,19.0531,19.186438,268.19,4,"XVI. kerület, XX. kerület, XIV. kerület, III. kerület",9,Other Municipal,0,0,0
Segítő Angyalok Állatmentés Kft.,47.540819,19.078859,47.462906,47.602695,19.044051,19.126929,140.18,2,"III. kerület, XIX. kerület",3,Other Municipal,0,0,1
Shell Hungary Zrt.,47.450823,19.165061,47.432778,47.468868,19.154442,19.17568,9.27,2,"XVIII. kerület, X. kerület",2,Other Municipal,0,0,1
Stop Shop,47.561774,19.106246,47.561774,47.561774,19.106246,19.106246,0.0,1,IV. kerület,1,Other Municipal,0,0,0
TIER-Dott,47.494868,19.078697,47.458318,47.607816,19.01656,19.129814,204.87,4,"XI. kerület, XIX. kerület, IX. kerület, III. kerület",5,Other Municipal,0,0,0
Tesco,47.496253,19.135149,47.427296,47.562861,19.021553,19.227922,338.51,5,"XVII. kerület, XIV. kerület, XX. kerület, XIII. kerület, III. kerület",13,Other Municipal,0,0,0
TraffiCOM,47.483462,19.089765,47.4815,47.485425,19.052453,19.127076,3.54,2,"XI. kerület, X. kerület",2,Other Municipal,0,0,0
V. kerület Belváros-Lipótváros Közterület-felügyelet,47.494621,19.054486,47.493439,47.495802,19.053701,19.055272,0.04,1,V. kerület,2,Local Government,1,0,0
V. kerület Belváros-Lipótváros Városüzemeltető,47.500414,19.05165,47.488238,47.512141,19.046522,19.059466,3.74,2,"V. kerület, IV. kerület",49,Local Government,1,0,0
VI. kerület Rendészeti Osztály,47.507062,19.065157,47.505341,47.50858,19.058574,19.072216,0.53,1,VI. kerület,4,Law Enforcement,1,0,0
VI. kerület Terézváros Önkormányzata,47.505747,19.063209,47.498158,47.516827,19.040373,19.075317,7.89,3,"I. kerület, VI. kerület, XX. kerület",43,Local Government,1,0,0
VII. kerület - EVIN Erzsébetvárosi Ingatlangazdákodási Nonprofit Zrt.,47.49996,19.064343,47.49996,47.49996,19.064343,19.064343,0.0,1,VII. kerület,1,Local Government,1,0,1
VII. kerület Erzsébetváros Rendészeti Igazgatósága,47.500723,19.068877,47.496764,47.507768,19.056874,19.081193,3.24,1,VII. kerület,16,Law Enforcement,1,0,0
VII. kerület Erzsébetváros Önkormányzata,47.500348,19.067613,47.495899,47.50788,19.055868,19.083732,4.04,1,VII. kerület,42,Local Government,1,0,0
VII. kerĂźlet ErzsĂŠbetvĂĄros ĂnkormĂĄnyzata,47.498311,19.069968,47.498311,47.498311,19.069968,19.069968,0.0,1,Unknown,1,Other Municipal,0,0,0
VIII. Kerületi Rendőrkapitányság,47.485871,19.070771,47.485871,47.485871,19.070771,19.070771,0.0,1,VIII. kerület,1,Law Enforcement,1,0,0
VIII. kerület JGK Józsefvárosi Gazdálkodási Központ,47.490038,19.078647,47.483116,47.497348,19.063153,19.099612,6.28,1,VIII. kerület,103,Local Government,1,0,0
